"","Team","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","totalwins"
"1","Atlanta Hawks",NA,NA,NA,NA,NA,51.1,31.5,9.8,10.2,14.5,20.8,26,24.2,19.5,38.2,56.4,603.694444444444
"2","Boston Celtics",NA,NA,NA,NA,NA,33.5,19.6,10.6,14,17.8,30.5,40.4,61.7,79.7,71.1,65.7,697
"3","Brooklyn Nets",NA,NA,NA,NA,NA,28.8,44.6,47.9,37.7,24.3,5.3,5.2,5.4,7.4,10.5,15.4,498.666666666667
"4","Charlotte Hornets",NA,NA,NA,NA,NA,51.4,33.5,30.7,39.6,53.7,62.7,54.1,35.9,27.2,25.2,27.5,608.305555555556
"5","Chicago Bulls",NA,NA,NA,NA,NA,36.8,19.4,18.4,18.6,16,20.5,22.2,25.7,24.9,31.9,46.2,501.583333333333
"6","Cleveland Cavaliers",NA,NA,NA,NA,NA,10.4,8.7,19.3,35.5,45.9,42.4,24.8,8.7,3.7,8.2,22.6,593.055555555556
"7","Dallas Mavericks",NA,NA,NA,NA,NA,5.5,4.6,5.6,9.4,15.6,17.7,16,9.9,9.6,24.1,28.5,678.833333333333
"8","Denver Nuggets",NA,NA,NA,NA,NA,0.6,0.6,2.6,8,11.5,17.9,29.1,50.2,61.9,59,39.9,685.527777777778
"9","Detroit Pistons",NA,NA,NA,NA,NA,16.8,28.7,34.8,40.5,39.1,27.1,23.7,21,22.3,22.1,18,526.777777777778
"10","Golden State Warriors",NA,NA,NA,NA,NA,34.6,43.9,48.6,53.8,42.9,27.7,15.8,4.4,5.4,6.2,6.6,683.416666666667
"11","Houston Rockets",NA,NA,NA,NA,NA,12.4,11.1,19.6,35.6,40,32.4,22.6,11.4,10.8,6.7,2,711.361111111111
"12","Indiana Pacers",NA,NA,NA,NA,NA,20,25.5,30,24.3,17.8,10.3,11.6,16.3,20.3,21.2,18,627.722222222222
"13","LA Clippers",NA,NA,NA,NA,NA,28.5,31,22.3,10.4,9.4,5.5,5.6,6.8,5.2,15.6,20.8,648.527777777778
"14","Los Angeles Lakers",NA,NA,NA,NA,NA,11.2,8.8,5.4,4.8,2.6,13.6,37.5,64.1,85.2,75.2,60.6,626.833333333333
"15","Memphis Grizzlies",NA,NA,NA,NA,NA,59.4,70.5,56.7,35.7,13.7,6.4,8.2,11,11.3,20.7,39.8,573.277777777778
"16","Miami Heat",NA,NA,NA,NA,NA,33,32.5,20.6,4.9,4.4,4.6,10.7,12.3,17.4,15.4,15.4,671.555555555556
"17","Milwaukee Bucks",NA,NA,NA,NA,NA,34.7,36.4,29.9,29.9,28.6,40.6,44.2,44.1,38.1,24.3,20.6,581.388888888889
"18","Minnesota Timberwolves",NA,NA,NA,NA,NA,88.3,102.5,111.4,89.3,58.2,40.3,23.5,31.7,38.2,41,42.7,411.194444444444
"19","New Orleans Pelicans",NA,NA,NA,NA,NA,24.4,17.8,13.8,17.5,27.6,27.5,24.4,25.1,20.1,20.5,14.6,564.305555555556
"20","New York Knicks",NA,NA,NA,NA,NA,32.6,29.8,26.2,13.4,9.1,7.9,16.1,20.9,25.2,28.3,36.7,479.694444444444
"21","Oklahoma City Thunder",NA,NA,NA,NA,NA,74.8,76.6,57.2,35.3,21.2,20,25.2,28.7,23.9,18.6,11.6,658.055555555556
"22","Orlando Magic",NA,NA,NA,NA,NA,10.4,5.2,4.9,7.2,25.6,50.3,69.2,63.1,52,48.1,46.2,554.916666666667
"23","Philadelphia 76ers",NA,NA,NA,NA,NA,31,39,39.7,40.2,36.7,45.4,69.6,74.6,58.6,34.4,22,529.805555555556
"24","Phoenix Suns",NA,NA,NA,NA,NA,22,20.1,20.4,22,32.2,47.5,50.8,59.5,61.6,57.5,56.6,580.083333333333
"25","Portland Trail Blazers",NA,NA,NA,NA,NA,29.3,18.6,17.3,28.7,40.9,40.9,31.3,10,12.6,18.4,19.4,660.833333333333
"26","Sacramento Kings",NA,NA,NA,NA,NA,37.6,50.2,59.6,64.3,62.3,55.8,52,47.2,54.1,68.7,62.3,441.305555555556
"27","San Antonio Spurs",NA,NA,NA,NA,NA,7.3,10.6,11.3,10,9,6.8,7.7,9.1,8.9,10.9,16.1,796.583333333333
"28","Toronto Raptors",NA,NA,NA,NA,NA,12.6,21,34,39.6,33.9,26.5,17.5,20.5,24,18.4,10.8,644.75
"29","Utah Jazz",NA,NA,NA,NA,NA,17.8,18.6,41.2,48.2,49.2,50,40.7,46.3,38.4,25,18.4,679.222222222222
"30","Washington Wizards",NA,NA,NA,NA,NA,17.2,13.1,24.2,45.4,70.3,69.1,48.3,24.2,6.5,8.6,12.6,519.722222222222
